gene,S1,S2,S3,S4,S5,S6,S7,S8
GENE0001,986.4202808009732,1175.8777087182934,759.652541533177,922.6004151701868,965.8296143342436,1171.3128744017936,1075.4495042849942,844.3663874628479
GENE0002,1446.7497451747608,873.509155047875,924.7943983882154,1252.1005634452536,999.1340837940451,937.050299521435,974.626113258276,1621.1834639286678
GENE0003,854.8975766941769,1007.8951789013943,1255.0781120982924,922.6004151701868,1032.4385532538467,836.6520531441384,1142.6650983028062,979.4650094569034
GENE0004,1446.7497451747608,873.509155047875,1089.936255243254,1120.300504135227,965.8296143342436,769.7198888926074,1008.2339102671821,911.9156984598757
GENE0005,789.1362246407786,940.7021669746346,1122.9646266142618,1120.300504135227,1198.9609005528544,1171.3128744017936,806.5871282137456,945.6903539583897
GENE0006,920.658928747575,739.1231311943558,792.6809129041847,1087.3504893077202,599.4804502764272,736.2538067668418,1142.6650983028062,641.7184544717644
GENE0007,1479.63042120146,1108.6846967915337,990.8511411302309,889.6504003426802,1165.6564310930528,736.2538067668418,201.6467820534364,844.3663874628479
GENE0008,558.9714924538848,940.7021669746346,660.5674274201539,922.6004151701868,1365.4832478518617,1104.3807101502628,1243.4884893295246,607.9437989732505
GENE0009,986.4202808009732,974.2986729380144,594.5106846781385,626.0502817226268,599.4804502764272,702.7877246410762,1142.6650983028062,878.1410429613618
GENE0010,690.4941965606813,839.9126490844952,1618.390197179377,1087.3504893077202,899.2206754146406,970.5163816472005,1377.9196773651488,607.9437989732505
GENE0011,920.658928747575,940.7021669746346,594.5106846781385,1021.4504596527069,1032.4385532538467,501.99123188648304,840.1949252226517,776.81707646582
GENE0012,624.7328445072831,1310.2637325718126,1056.9078838722462,922.6004151701868,1065.743022713648,1104.3807101502628,873.8027222315577,1114.5636314509593
GENE0013,1150.8236609344688,1007.8951789013943,990.8511411302309,1614.5507265478268,632.7849197362286,1271.7111207790904,537.7247521424971,945.6903539583897
GENE0014,1150.8236609344688,1075.088190828154,792.6809129041847,988.5004448252001,1065.743022713648,669.3216425153107,907.4105192404637,1215.887597946501
GENE0015,854.8975766941769,974.2986729380144,792.6809129041847,1318.000593100267,1032.4385532538467,1037.4485458987317,1545.958662409679,1384.7608754390706
GENE0016,887.7782527208759,772.7196371577356,1056.9078838722462,724.9003262051468,732.6983281156331,1037.4485458987317,1041.841707276088,1047.0143204539313
GENE0017,1282.3463650412652,436.7545775239375,1056.9078838722462,922.6004151701868,832.6117364950376,1405.5754492821525,1142.6650983028062,1215.887597946501
GENE0018,591.852168480584,537.544095414077,1453.2483403243386,1087.3504893077202,799.3072670352361,1070.9146280244972,1377.9196773651488,1013.2396649554175
GENE0019,887.7782527208759,1343.8602385351924,1089.936255243254,823.7503706876668,1032.4385532538467,970.5163816472005,638.5481431692152,945.6903539583897
GENE0020,1150.8236609344688,873.509155047875,561.4823133071309,922.6004151701868,1498.7011256910675,803.1859710183729,806.5871282137456,506.61983247770877
GENE0021,723.3748725873804,1075.088190828154,693.5957987911615,626.0502817226268,732.6983281156331,1104.3807101502628,772.9793312048395,810.5917319643339
GENE0022,1052.1816328543714,739.1231311943558,957.8227697592232,823.7503706876668,999.1340837940451,970.5163816472005,1277.0962863384304,1080.7889759524453
GENE0023,986.4202808009732,772.7196371577356,1155.9929979852693,659.0002965501335,566.1759808166255,1104.3807101502628,772.9793312048395,1249.6622534450148
GENE0024,690.4941965606813,839.9126490844952,1023.8795125012387,823.7503706876668,1698.527942449877,1539.4397777852148,806.5871282137456,911.9156984598757
GENE0025,1413.8690691480617,1814.2113220225096,891.7660270172078,1383.9006227552802,1032.4385532538467,903.5842173956695,1008.2339102671821,945.6903539583897
GENE0026,1150.8236609344688,638.3336133042163,561.4823133071309,955.5504299976935,1232.2653700126557,1238.2450386533249,739.3715341959335,641.7184544717644
GENE0027,723.3748725873804,806.3161431211154,1222.0497407272846,1252.1005634452536,1132.351961633251,769.7198888926074,1377.9196773651488,1114.5636314509593
GENE0028,1644.0338013349556,1007.8951789013943,1056.9078838722462,856.7003855151735,1465.3966562312662,769.7198888926074,941.0183162493698,1182.112942447987
GENE0029,1183.704336961168,671.9301192675962,1222.0497407272846,856.7003855151735,1032.4385532538467,1070.9146280244972,1209.8806923206184,945.6903539583897
GENE0030,986.4202808009732,940.7021669746346,924.7943983882154,1186.2005337902401,1265.5698394724573,1137.8467922760283,705.7637371870275,1756.2820859227236
GENE0031,822.0169006674778,1243.070720645053,693.5957987911615,823.7503706876668,832.6117364950376,1204.7789565275593,638.5481431692152,979.4650094569034
GENE0032,723.3748725873804,974.2986729380144,924.7943983882154,823.7503706876668,999.1340837940451,937.050299521435,1209.8806923206184,1114.5636314509593
GENE0033,1117.9429849077696,974.2986729380144,858.7376556462001,889.6504003426802,799.3072670352361,1037.4485458987317,571.3325491514031,540.3944879762226
GENE0034,920.658928747575,1108.6846967915337,594.5106846781385,724.9003262051468,1165.6564310930528,1204.7789565275593,1277.0962863384304,1654.9581194271818
GENE0035,854.8975766941769,1243.070720645053,1618.390197179377,955.5504299976935,1165.6564310930528,970.5163816472005,1176.2728953117123,878.1410429613618
GENE0036,1249.4656890145661,907.1056610112548,1222.0497407272846,1219.1505486177468,1232.2653700126557,1338.6432850306214,604.9403461603092,675.4931099702783
GENE0037,756.2555486140794,907.1056610112548,528.4539419361231,1120.300504135227,999.1340837940451,1037.4485458987317,739.3715341959335,1317.2115644420428
GENE0038,1413.8690691480617,873.509155047875,891.7660270172078,922.6004151701868,732.6983281156331,803.1859710183729,1747.6054444631154,1486.0848419346123
GENE0039,756.2555486140794,839.9126490844952,693.5957987911615,1285.0505782727603,799.3072670352361,1037.4485458987317,638.5481431692152,743.0424209673062
GENE0040,1249.4656890145661,739.1231311943558,990.8511411302309,922.6004151701868,1198.9609005528544,803.1859710183729,840.1949252226517,1519.859497433126
GENE0041,986.4202808009732,436.7545775239375,1222.0497407272846,1482.7506672378004,865.9162059548391,1137.8467922760283,1713.9976474542095,878.1410429613618
GENE0042,657.6135205339822,1209.4742146816732,891.7660270172078,988.5004448252001,1398.7877173116633,870.1181352699039,1142.6650983028062,709.2677654687923
GENE0043,1611.1531253082562,1175.8777087182934,1882.6171681474386,955.5504299976935,1432.0921867714646,1204.7789565275593,672.1559401781213,810.5917319643339
GENE0044,756.2555486140794,1646.2287922056105,594.5106846781385,1021.4504596527069,1099.0474921734497,803.1859710183729,705.7637371870275,1553.63415293164
GENE0045,1117.9429849077696,1175.8777087182934,1288.1064834693002,1087.3504893077202,1065.743022713648,1037.4485458987317,772.9793312048395,1114.5636314509593
GENE0046,1085.0623088810705,839.9126490844952,693.5957987911615,988.5004448252001,865.9162059548391,1003.9824637729661,873.8027222315577,1148.338286949473
GENE0047,986.4202808009732,705.526625230976,825.7092842751923,1021.4504596527069,766.0027975754347,1338.6432850306214,1008.2339102671821,810.5917319643339
GENE0048,1413.8690691480617,974.2986729380144,1056.9078838722462,1416.850637582787,1398.7877173116633,1539.4397777852148,1041.841707276088,1047.0143204539313
GENE0049,920.658928747575,1041.491684864774,1255.0781120982924,988.5004448252001,599.4804502764272,635.8555603895452,1512.350865400773,1013.2396649554175
GENE0050,854.8975766941769,772.7196371577356,891.7660270172078,395.4001779300801,1232.2653700126557,836.6520531441384,1075.4495042849942,1047.0143204539313
GENE0051,1150.8236609344688,1108.6846967915337,1255.0781120982924,1021.4504596527069,1132.351961633251,1137.8467922760283,1478.743068391867,574.1691434747365
GENE0052,1709.7951533883538,1814.2113220225096,792.6809129041847,494.25022241260007,299.7402251382136,1137.8467922760283,1142.6650983028062,1047.0143204539313
GENE0053,789.1362246407786,705.526625230976,759.652541533177,856.7003855151735,732.6983281156331,1372.109367156387,772.9793312048395,743.0424209673062
GENE0054,394.5681123203893,1175.8777087182934,924.7943983882154,988.5004448252001,1198.9609005528544,535.4573140122486,739.3715341959335,979.4650094569034
GENE0055,887.7782527208759,1041.491684864774,1189.021369356277,1186.2005337902401,1398.7877173116633,1505.9736956594493,1109.0573012939,1553.63415293164
GENE0056,1249.4656890145661,907.1056610112548,924.7943983882154,1285.0505782727603,333.04469459801504,1003.9824637729661,1041.841707276088,1249.6622534450148
GENE0057,460.3294643737875,1310.2637325718126,825.7092842751923,955.5504299976935,965.8296143342436,937.050299521435,1377.9196773651488,743.0424209673062
GENE0058,1380.9883931213626,907.1056610112548,594.5106846781385,1350.9506079277735,965.8296143342436,1405.5754492821525,907.4105192404637,1047.0143204539313
GENE0059,986.4202808009732,1175.8777087182934,1189.021369356277,823.7503706876668,699.3938586558317,870.1181352699039,772.9793312048395,1350.9862199405566
GENE0060,887.7782527208759,907.1056610112548,858.7376556462001,889.6504003426802,699.3938586558317,1706.7701884140424,941.0183162493698,1182.112942447987
GENE0061,460.3294643737875,806.3161431211154,858.7376556462001,955.5504299976935,1398.7877173116633,836.6520531441384,941.0183162493698,810.5917319643339
GENE0062,558.9714924538848,907.1056610112548,891.7660270172078,724.9003262051468,832.6117364950376,903.5842173956695,1109.0573012939,743.0424209673062
GENE0063,1117.9429849077696,1209.4742146816732,792.6809129041847,955.5504299976935,632.7849197362286,1572.90585991098,739.3715341959335,709.2677654687923
GENE0064,1085.0623088810705,806.3161431211154,792.6809129041847,691.9503113776401,1365.4832478518617,1137.8467922760283,1041.841707276088,1182.112942447987
GENE0065,1052.1816328543714,806.3161431211154,1222.0497407272846,626.0502817226268,865.9162059548391,937.050299521435,1109.0573012939,1350.9862199405566
GENE0066,1348.1077170946635,1108.6846967915337,1321.1348548403078,395.4001779300801,1232.2653700126557,870.1181352699039,941.0183162493698,911.9156984598757
GENE0067,920.658928747575,1377.456744498572,990.8511411302309,1186.2005337902401,1298.8743089322586,1104.3807101502628,1781.2132414720215,911.9156984598757
GENE0068,854.8975766941769,1142.2812027549135,1056.9078838722462,691.9503113776401,566.1759808166255,1271.7111207790904,1176.2728953117123,878.1410429613618
