gene,S1,S2,S3,S4,S5,S6,S7,S8
GENE0001,4.9094040896842,5.148159315595131,4.557389847535816,4.818573323053264,4.893476018984587,5.156677899061934,5.02822871895729,4.697991300098621
GENE0002,5.4465890003454405,4.733330665029202,4.830199647517334,5.245628650367209,4.940766742431895,4.844825669880858,4.890775995270107,5.6122154160106374
GENE0003,4.710319929740703,4.93253168414379,5.257363975125557,4.818573323053264,4.986556377530682,4.6873388512905265,5.113088587133375,4.904429108190366
GENE0004,5.4465890003454405,4.733330665029202,5.0595341617502845,5.0896307272595696,4.893476018984587,4.571905501639238,4.9380636844244945,4.804899502578599
GENE0005,4.599427881720111,4.836366547574954,5.101329920992709,5.0896307272595696,5.195950864651878,5.156677899061934,4.627853343278305,4.85552243706254
GENE0006,4.813293356424279,4.502150387154456,4.616235122172207,5.047845328166196,4.234781965277941,4.510529751210831,5.113088587133375,4.319509082507297
GENE0007,5.4782751416854145,5.065734013255348,4.926350328703255,4.767998206765472,5.1564329679311305,4.510529751210831,2.7930751814971635,4.697991300098621
GENE0008,4.126227610848135,4.836366547574954,4.364917664964498,4.818573323053264,5.378770060373359,5.074238105264105,5.2316952681292035,4.245515207534169
GENE0009,4.9094040896842,4.885250222617076,4.220673335662002,4.283162346774976,4.234781965277941,4.446426461562308,5.113088587133375,4.752435453750739
GENE0010,4.415259648476122,4.678915008894761,5.615654022403525,5.047845328166196,4.7939735399695005,4.8937195375535305,5.376043159076494,4.245515207534169
GENE0011,4.813293356424279,4.836366547574954,4.220673335662002,4.960458557808636,4.986556377530682,3.9872281089055925,4.684411083064853,4.582522250978363
GENE0012,4.27796970485073,5.30009974853031,5.016491335644036,4.818573323053264,5.030937294038822,5.074238105264105,4.738834988361551,5.084991359523839
GENE0013,5.124922141202668,4.93253168414379,4.926350328703255,5.603849130864576,4.308745863976801,5.272125867597083,4.071775488293686,4.85552243706254
GENE0014,5.124922141202668,5.022685395249591,4.616235122172207,4.9146965827886735,5.030937294038822,4.37934188887135,4.791280234799375,5.2069758062486535
GENE0015,4.710319929740703,4.885250222617076,4.616235122172207,5.3177266676728046,4.986556377530682,4.98680042579271,5.5382721213399435,5.3898316633488
GENE0016,4.762725173701303,4.563510076606861,5.016491335644036,4.484526448610328,4.510288811714913,4.98680042579271,4.9838504748106,4.997533203114158
GENE0017,5.276794622688325,3.786573544124002,5.016491335644036,4.818573323053264,4.687096636491452,5.412955752818594,5.113088587133375,5.2069758062486535
GENE0018,4.204092760607679,4.066397293624819,5.463715507159157,5.047845328166196,4.630534555926497,5.031181583077421,5.376043159076494,4.951732082600742
GENE0019,4.762725173701303,5.335709903150681,5.0595341617502845,4.661196669185406,4.986556377530682,4.8937195375535305,4.306092862924369,4.85552243706254
GENE0020,5.124922141202668,4.733330665029202,4.142755738562914,4.818573323053264,5.509985725560081,4.630776379619578,4.627853343278305,3.9976128430778615
GENE0021,4.479297115108977,5.022685395249591,4.431968992176349,4.283162346774976,4.510288811714913,5.074238105264105,4.568987591332684,4.641411692521871
GENE0022,4.999509987003452,4.502150387154456,4.8790758540885895,4.661196669185406,4.940766742431895,4.8937195375535305,5.269158661025361,5.0419249090717475
GENE0023,4.9094040896842,4.563510076606861,5.141948845127983,4.353453196945736,4.156820210788235,5.074238105264105,4.568987591332684,5.2454481414247445
GENE0024,4.415259648476122,4.678915008894761,4.97212473004853,4.661196669185406,5.6868285120670805,5.541252756166863,4.627853343278305,4.804899502578599
GENE0025,5.414191273311891,5.759377552558545,4.779609352778587,5.386392463369865,4.986556377530682,4.794216453200796,4.9380636844244945,4.85552243706254
GENE0026,5.124922141202668,4.300663595168133,4.142755738562914,4.867435362246952,5.234415095849825,5.234660398732416,4.507617412476637,4.319509082507297
GENE0027,4.479297115108977,4.622366177843771,5.2199088765499875,5.245628650367209,5.1158020489580025,4.571905501639238,5.376043159076494,5.084991359523839
GENE0028,5.627038295149406,4.93253168414379,5.016491335644036,4.715585516225304,5.478283601772434,4.571905501639238,4.841885663310561,5.167449355400231
GENE0029,5.164415206025786,4.370999232873026,5.2199088765499875,4.715585516225304,4.986556377530682,5.031181583077421,5.1932330442287515,4.85552243706254
GENE0030,4.9094040896842,4.836366547574954,4.830199647517334,5.169737160003742,5.271880393133235,5.116046778285052,4.443520200664108,5.725422101003936
GENE0031,4.655939101419404,5.226128848719932,4.431968992176349,4.661196669185406,4.687096636491452,5.196195986680948,4.306092862924369,4.904429108190366
GENE0032,4.479297115108977,4.885250222617076,4.830199647517334,4.661196669185406,4.940766742431895,4.844825669880858,5.1932330442287515,5.084991359523839
GENE0033,5.0843174722362185,4.885250222617076,4.727180360474143,4.767998206765472,4.630534555926497,4.98680042579271,4.154182880250675,4.085066315148885
GENE0034,4.813293356424279,5.065734013255348,4.220673335662002,4.484526448610328,5.1564329679311305,5.196195986680948,5.269158661025361,5.6413607214257
GENE0035,4.710319929740703,5.226128848719932,5.615654022403525,4.867435362246952,5.1564329679311305,4.8937195375535305,5.153717266289059,4.752435453750739
GENE0036,5.240298888934158,4.785768251243891,5.2199088765499875,5.208181871893761,5.234415095849825,5.344258531779352,4.232136387331898,4.389892342612673
GENE0037,4.540612522966336,4.785768251243891,4.0603884773474475,5.0896307272595696,4.940766742431895,4.98680042579271,4.507617412476637,5.31944536948121
GENE0038,5.414191273311891,4.733330665029202,4.779609352778587,4.818573323053264,4.510288811714913,4.630776379619578,5.7115633396994,5.489363291524712
GENE0039,4.540612522966336,4.678915008894761,4.431968992176349,5.282127995293632,4.630534555926497,4.98680042579271,4.306092862924369,4.521126323158798
GENE0040,5.240298888934158,4.502150387154456,4.926350328703255,4.818573323053264,5.195950864651878,4.630776379619578,4.684411083064853,5.52107092004871
GENE0041,4.9094040896842,3.786573544124002,5.2199088765499875,5.483626886363473,4.741524561154143,5.116046778285052,5.684088686916047,4.752435453750739
GENE0042,4.34824716138221,5.187670744777204,4.779609352778587,4.9146965827886735,5.412709671817175,4.741767138098671,5.113088587133375,4.457001022279954
GENE0043,5.598487586246314,5.148159315595131,5.829698657692447,4.867435362246952,5.445869166165198,5.196195986680948,4.37644228435981,4.641411692521871
GENE0044,4.540612522966336,5.62191504764119,4.220673335662002,4.960458557808636,5.073993589608274,4.630776379619578,4.443520200664108,5.552096636856643
GENE0045,5.0843174722362185,5.148159315595131,5.293871224402915,5.047845328166196,5.030937294038822,4.98680042579271,4.568987591332684,5.084991359523839
GENE0046,5.042536806051742,4.678915008894761,4.431968992176349,4.9146965827886735,4.741524561154143,4.9410105343881785,4.738834988361551,5.126809393571954
GENE0047,4.9094040896842,4.4380646177371625,4.67277395886524,4.960458557808636,4.571664101631313,5.344258531779352,4.9380636844244945,4.641411692521871
GENE0048,5.414191273311891,4.885250222617076,5.016491335644036,5.419537450307451,5.412709671817175,5.541252756166863,4.9838504748106,4.997533203114158
GENE0049,4.813293356424279,4.9783126359631975,5.257363975125557,4.9146965827886735,4.234781965277941,4.308985145761764,5.507252980589516,4.951732082600742
GENE0050,4.710319929740703,4.563510076606861,4.779609352778587,3.6627870582851254,5.234415095849825,4.6873388512905265,5.02822871895729,4.997533203114158
GENE0051,5.124922141202668,5.065734013255348,5.257363975125557,4.960458557808636,5.1158020489580025,5.116046778285052,5.475552220348767,4.167520147130386
GENE0052,5.682498608431662,5.759377552558545,4.616235122172207,3.96175114966625,3.3094426766858938,5.116046778285052,5.113088587133375,4.997533203114158
GENE0053,4.599427881720111,4.4380646177371625,4.557389847535816,4.715585516225304,4.510288811714913,5.379016000568944,4.568987591332684,4.521126323158798
GENE0054,3.65774573174048,5.148159315595131,4.830199647517334,4.9146965827886735,5.195950864651878,4.074640641075659,4.507617412476637,4.904429108190366
GENE0055,4.762725173701303,4.9783126359631975,5.181455395119347,5.169737160003742,5.412709671817175,5.510232192254693,5.071282499313819,5.552096636856643
GENE0056,5.240298888934158,4.785768251243891,4.830199647517334,5.282127995293632,3.4468195322465345,4.9410105343881785,4.9838504748106,5.2454481414247445
GENE0057,3.863715062288914,5.30009974853031,4.67277395886524,4.867435362246952,4.893476018984587,4.844825669880858,5.376043159076494,4.521126323158798
GENE0058,5.381049264298631,4.785768251243891,4.220673335662002,5.352468049850123,4.893476018984587,5.412955752818594,4.791280234799375,4.997533203114158
GENE0059,4.9094040896842,5.148159315595131,5.181455395119347,4.661196669185406,4.446186024424906,4.741767138098671,4.568987591332684,5.355067725200534
GENE0060,4.762725173701303,4.785768251243891,4.727180360474143,4.767998206765472,4.446186024424906,5.687075616663485,4.841885663310561,5.167449355400231
GENE0061,3.863715062288914,4.622366177843771,4.727180360474143,4.867435362246952,5.412709671817175,4.6873388512905265,4.841885663310561,4.641411692521871
GENE0062,4.126227610848135,4.785768251243891,4.779609352778587,4.484526448610328,4.687096636491452,4.794216453200796,5.071282499313819,4.521126323158798
GENE0063,5.0843174722362185,5.187670744777204,4.616235122172207,4.867435362246952,4.308745863976801,5.571620337297037,4.507617412476637,4.457001022279954
GENE0064,5.042536806051742,4.622366177843771,4.616235122172207,4.420477861770141,5.378770060373359,5.116046778285052,4.9838504748106,5.167449355400231
GENE0065,4.999509987003452,4.622366177843771,5.2199088765499875,4.283162346774976,4.741524561154143,4.844825669880858,5.071282499313819,5.355067725200534
GENE0066,5.347127970405678,5.065734013255348,5.329477415784538,3.6627870582851254,5.234415095849825,4.741767138098671,4.841885663310561,4.804899502578599
GENE0067,4.813293356424279,5.370462221084334,4.926350328703255,5.169737160003742,5.30839733137303,5.074238105264105,5.738524528956624,4.804899502578599
GENE0068,4.710319929740703,5.107535233600744,5.016491335644036,4.420477861770141,4.156820210788235,5.272125867597083,5.153717266289059,4.752435453750739
GENE0069,4.655939101419404,4.93253168414379,4.926350328703255,4.484526448610328,5.271880393133235,5.412955752818594,4.627853343278305,4.997533203114158
GENE0070,5.414191273311891,5.335709903150681,4.616235122172207,4.818573323053264,4.741524561154143,3.9872281089055925,5.409981207702571,4.752435453750739
GENE0071,5.164415206025786,4.9783126359631975,5.0595341617502845,5.245628650367209,4.571664101631313,5.308642968841128,4.684411083064853,5.0419249090717475
GENE0072,5.164415206025786,4.9783126359631975,4.294597489420315,3.6627870582851254,5.030937294038822,4.9410105343881785,4.443520200664108,4.752435453750739
